infinitive,english,präteritum,partizipII,auxiliary,level,präteritumExample,partizipIIExample,source_name,source_levelReference,pattern_type,pattern_group
"fahren","to drive/ride","fuhr","gefahren","sein","A2","Sie fuhr nach Berlin.","Er ist Auto gefahren.","Goethe-Institut","A2 Common Verbs","ablaut","a -> u -> a"
"fliegen","to fly","flog","geflogen","sein","A2","Das Flugzeug flog nach Paris.","Wir sind nach London geflogen.","Goethe-Institut","A2 Common Verbs","ablaut","ie -> o -> o"
"schwimmen","to swim","schwamm","geschwommen","sein","A2","Er schwamm im See.","Sie ist einen Kilometer geschwommen.","Goethe-Institut","A2 Common Verbs","ablaut","i -> a -> o"
"tanzen","to dance","tanzte","getanzt","haben","A2","Sie tanzten die ganze Nacht.","Wir haben Salsa getanzt.","Goethe-Institut","A2 Common Verbs","",""
"erreichen","to reach/achieve","erreichte","erreicht","haben","B1","Sie erreichte ihr Ziel.","Er hat den Gipfel erreicht.","Duden","B1 Intermediate Verbs","",""
"beschließen","to decide","beschloss","beschlossen","haben","B1","Das Komitee beschloss die Änderungen.","Sie haben eine neue Strategie beschlossen.","Duden","B1 Intermediate Verbs","ablaut","ie -> o -> o"
"entstehen","to develop/arise","entstand","entstanden","sein","B1","Daraus entstand eine neue Idee.","Das Problem ist plötzlich entstanden.","Duden","B1 Intermediate Verbs","ablaut","e -> a -> a"
"verbinden","to connect/combine","verband","verbunden","haben","B1","Er verband die beiden Kabel.","Sie hat Tradition mit Innovation verbunden.","Duden","B1 Intermediate Verbs","ablaut","i -> a -> u"
"bewerten","to evaluate/assess","bewertete","bewertet","haben","B2","Der Professor bewertete die Arbeiten.","Die Jury hat die Leistungen bewertet.","Duden","B2 Advanced Verbs","",""
"übertragen","to transfer/transmit","übertrug","übertragen","haben","B2","Er übertrug die Verantwortung.","Die Krankheit hat sich schnell übertragen.","Duden","B2 Advanced Verbs","ablaut","a -> u -> a"
"durchführen","to carry out/conduct","führte durch","durchgeführt","haben","B2","Das Team führte das Experiment durch.","Sie haben eine Studie durchgeführt.","Duden","B2 Advanced Verbs","",""
"erörtern","to discuss/debate","erörterte","erörtert","haben","C1","Das Gremium erörterte die Vorschläge.","Die Experten haben die Problematik erörtert.","Duden","C1 Professional Verbs","",""
"entsprechen","to correspond","entsprach","entsprochen","haben","C1","Das Ergebnis entsprach den Erwartungen.","Die Leistung hat den Anforderungen entsprochen.","Duden","C1 Professional Verbs","ablaut","e -> a -> o"
"beinhalten","to contain/include","beinhaltete","beinhaltet","haben","C1","Der Vertrag beinhaltete wichtige Klauseln.","Das Angebot hat viele Vorteile beinhaltet.","Duden","C1 Professional Verbs","",""
"suggerieren","to suggest/imply","suggerierte","suggeriert","haben","C2","Der Text suggerierte eine andere Interpretation.","Die Studie hat einen Zusammenhang suggeriert.","Duden","C2 Academic Verbs","",""
"gedeihen","to thrive/flourish","gedieh","gediehen","sein","C2","Das Unternehmen gedieh unter seiner Führung.","Die Pflanzen sind prächtig gediehen.","Duden","C2 Academic Verbs","ablaut","ei -> ie -> ie"
"differenzieren","to differentiate","differenzierte","differenziert","haben","C2","Der Experte differenzierte zwischen den Konzepten.","Sie hat genau zwischen den Optionen differenziert.","Duden","C2 Academic Verbs","",""
