"lemma","pos","level","english","example_de","example_en","gender","plural","separable","aux","praesens_ich","praesens_er","praeteritum","partizip_ii","perfekt","comparative","superlative","sources_csv","source_notes"
"laufen","V","A2","to run/walk","Er lief schnell.","Sie ist einen Marathon gelaufen.",,,,"sein",,,"lief","gelaufen","ist gelaufen",,,"Goethe-Institut","A2 Common Verbs"
"schwimmen","V","A2","to swim","Er schwamm im See.","Sie ist einen Kilometer geschwommen.",,,,"sein",,,"schwamm","geschwommen","ist geschwommen",,,"Goethe-Institut","A2 Common Verbs"
"tanzen","V","A2","to dance","Sie tanzten die ganze Nacht.","Wir haben Salsa getanzt.",,,,"haben",,,"tanzte","getanzt","hat getanzt",,,"Goethe-Institut","A2 Common Verbs"
"beschließen","V","B1","to decide","Das Komitee beschloss die Änderungen.","Sie haben eine neue Strategie beschlossen.",,,,"haben",,,"beschloss","beschlossen","hat beschlossen",,,"Duden","B1 Intermediate Verbs"
"entstehen","V","B1","to develop/arise","Daraus entstand eine neue Idee.","Das Problem ist plötzlich entstanden.",,,,"sein",,,"entstand","entstanden","ist entstanden",,,"Duden","B1 Intermediate Verbs"
"erreichen","V","B1","to reach/achieve","Sie erreichte ihr Ziel.","Er hat den Gipfel erreicht.",,,,"haben",,,"erreichte","erreicht","hat erreicht",,,"Duden","B1 Intermediate Verbs"
"verbinden","V","B1","to connect/combine","Er verband die beiden Kabel.","Sie hat Tradition mit Innovation verbunden.",,,,"haben",,,"verband","verbunden","hat verbunden",,,"Duden","B1 Intermediate Verbs"
"bewerten","V","B2","to evaluate/assess","Der Professor bewertete die Arbeiten.","Die Jury hat die Leistungen bewertet.",,,,"haben",,,"bewertete","bewertet","hat bewertet",,,"Duden","B2 Advanced Verbs"
"durchführen","V","B2","to carry out/conduct","Das Team führte das Experiment durch.","Sie haben eine Studie durchgeführt.",,,,"haben",,,"führte durch","durchgeführt","hat durchgeführt",,,"Duden","B2 Advanced Verbs"
"übertragen","V","B2","to transfer/transmit","Er übertrug die Verantwortung.","Die Krankheit hat sich schnell übertragen.",,,,"haben",,,"übertrug","übertragen","hat übertragen",,,"Duden","B2 Advanced Verbs"
"beinhalten","V","C1","to contain/include","Der Vertrag beinhaltete wichtige Klauseln.","Das Angebot hat viele Vorteile beinhaltet.",,,,"haben",,,"beinhaltete","beinhaltet","hat beinhaltet",,,"Duden","C1 Professional Verbs"
"entsprechen","V","C1","to correspond","Das Ergebnis entsprach den Erwartungen.","Die Leistung hat den Anforderungen entsprochen.",,,,"haben",,,"entsprach","entsprochen","hat entsprochen",,,"Duden","C1 Professional Verbs"
"erörtern","V","C1","to discuss/debate","Das Gremium erörterte die Vorschläge.","Die Experten haben die Problematik erörtert.",,,,"haben",,,"erörterte","erörtert","hat erörtert",,,"Duden","C1 Professional Verbs"
"differenzieren","V","C2","to differentiate","Der Experte differenzierte zwischen den Konzepten.","Sie hat genau zwischen den Optionen differenziert.",,,,"haben",,,"differenzierte","differenziert","hat differenziert",,,"Duden","C2 Academic Verbs"
"gedeihen","V","C2","to thrive/flourish","Das Unternehmen gedieh unter seiner Führung.","Die Pflanzen sind prächtig gediehen.",,,,"sein",,,"gedieh","gediehen","ist gediehen",,,"Duden","C2 Academic Verbs"
"suggerieren","V","C2","to suggest/imply","Der Text suggerierte eine andere Interpretation.","Die Studie hat einen Zusammenhang suggeriert.",,,,"haben",,,"suggerierte","suggeriert","hat suggeriert",,,"Duden","C2 Academic Verbs"
Haus,N,A1,house,Das Haus ist groß.,The house is big.,das,Häuser,,,,,,,,,,Frequency List,
Haus,N,A2,,Das alte Haus.,,das,Häuser,,,,,,,,,,Newspaper Corpus,regional usage
schnell,Adj,A1,fast,Ein schneller Zug.,A fast train.,,,,,,,,,,schneller,am schnellsten,Goethe-Institut,
freundlich,Adj,A2,friendly,Eine freundliche Person.,A friendly person.,,,,,,,,,,freundlicher,am freundlichsten,Duden,
gern,Adv,A1,gladly,Ich lese gern.,I like to read.,,,,,,,,,,,,Goethe-Institut,
ich,Pron,A1,I,Ich bin hier.,I am here.,,,,,,,,,,,,Goethe-Institut,
